Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Approximate Volume Released (m3),Substance,SubstanceCategory,Release Type,Year,What Happened?,Why it Happened?,Pipeline Phase,Were Pipeline System Components Involved?,Pipeline System Components Involved
INC2011-066,Release of Substance,26-04-2011,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.28501,-121.65768,Yes,No,No,No,1300,Natural Gas - Sour,High Vapour Pressure Product,Gas,2011,Cracking ,Standards and Procedures,Operation,,
INC2011-067,Release of Substance,25-04-2011,Burstall,Saskatchewan,TransCanada PipeLines Limited,Closed,50.67651,-109.97872,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Engineering and Planning,Operation,,
INC2011-068,Fire,28-04-2011,Czar,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.29327,-111.0907,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Equipment Failure,"Maintenance, Standards and Procedures",Maintenance,,
INC2011-070,Fire,03-05-2011,Hamilton,Ontario,TransCanada PipeLines Limited,Closed,43.25556,-79.87348,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Operating Conditions,Maintenance,Operation,,
INC2011-071,Release of Substance,03-05-2011,Beardmore,Ontario,TransCanada PipeLines Limited,Closed,49.61136,-87.96157,Yes,No,No,No,50,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Cracking ,Maintenance,Operation,,
INC2011-073,Release of Substance,07-05-2011,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.60098,-116.46762,Yes,No,No,No,10,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Natural Force Damage,Maintenance,Operation,,
INC2011-074,Release of Substance,09-05-2011,Wrigley,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,62.70880556,-123.079889,No,No,Yes,Yes,259,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2011,Incorrect Operation,Engineering and Planning,Operation,,
INC2011-075,Release of Substance,12-05-2011,Terrebonne,Quebec,Enbridge Pipelines Inc.,Closed,45.72466,-73.69588,Yes,No,No,No,4,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2011,Incorrect Operation,Leadership and Communication,Maintenance,,
INC2011-082,Serious Injury (NEB or TSB),18-05-2011,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.6533,-122.68493,No,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Other Causes,Individual Factors,Operation,,
INC2011-085,Release of Substance,27-05-2011,Pincher Creek,Alberta,NOVA Gas Transmission Ltd.,Submitted,49.30721,-114.015,Yes,No,No,No,2,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Cracking ,Engineering and Planning,Operation,,
INC2011-087,Release of Substance,05-06-2011,Niverville,Manitoba,TransCanada PipeLines Limited,Closed,49.58317,-97.0036,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Cracking ,Maintenance,Operation,,
INC2011-089,Release of Substance,06-06-2011,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.30744,-66.04273,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-090,Fatality,07-06-2011,Dawson Creek,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.81189,-120.86837,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Incorrect Operation,Leadership and Communication,Construction,,
INC2011-092,Release of Substance,09-06-2011,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14635,-120.66936,No,No,No,No,3.6,Natural Gas - Sour,High Vapour Pressure Product,Gas,2011,Equipment Failure,Engineering and Planning,Operation,,
INC2011-094,Release of Substance,17-06-2011,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.254,-120.716,No,No,Yes,No,0.0001,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Incorrect Operation,Maintenance,Operation,,
INC2011-095,Operation Beyond Design Limits,21-06-2011,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.64129,-111.2708,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,"Equipment Failure, Material Defect",Maintenance,Maintenance,,
INC2011-099,Release of Substance,27-06-2011,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.27811111,-66.0088056,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,"Engineering and Planning, Maintenance",Operation,,
INC2011-100,Release of Substance,27-06-2011,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.806186,-66.593942,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-101,Release of Substance,27-06-2011,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.881317,-66.551169,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-102,Release of Substance,27-06-2011,Gaspereau,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,47.590212,-64.959858,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-104,Release of Substance,30-06-2011,Red Deer,Alberta,NOVA Gas Transmission Ltd.,Closed,52.24822,-113.61774,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Operating Conditions,Maintenance,Operation,,
INC2011-105,Fire,07-07-2011,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.96088,-116.46033,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Equipment Failure,Maintenance,Operation,,
INC2011-106,Release of Substance,08-07-2011,Burstall,Saskatchewan,TransCanada PipeLines Limited,Closed,50.67653,-109.97885,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,"Engineering and Planning, Maintenance",Operation,,
INC2011-109,Release of Substance,22-07-2011,Caledonia,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.37514774,-62.452671,No,No,Yes,No,113,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Equipment Failure,Maintenance,Operation,,
INC2011-114,Release of Substance,04-08-2011,Halifax,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.648901,-63.575335,No,No,Yes,No,934,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-115,Release of Substance,04-08-2011,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.45872,-67.02456,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Construction,,
INC2011-116,Fire,04-08-2011,Herbert,Saskatchewan,TransCanada Keystone Pipeline GP Ltd.,Closed,50.53923,-107.30765,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,"Incorrect Operation, Operating Conditions","Individual Factors, Leadership and Communication",Construction,,
INC2011-119,Fire,06-08-2011,Consort,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,51.92351,-110.63297,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Operating Conditions,Standards and Procedures,Construction,,
INC2011-120,Fire,06-08-2011,Oyen,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,51.42256,-110.54117,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Operating Conditions,Standards and Procedures,Construction,,
INC2011-125,Fire,09-08-2011,Rapid City,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Closed,50.0749,-100.00047,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,"Equipment Failure, Operating Conditions",Maintenance,Operation,,
INC2011-127,Release of Substance,16-08-2011,Meanook,Alberta,NOVA Gas Transmission Ltd.,Closed,54.46884,-113.21624,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-129,Operation Beyond Design Limits,17-08-2011,Toronto,Ontario,Trans-Northern Pipelines Inc.,Closed,43.768426,-79.485336,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Operating Conditions,Tools and Equipment,Operation,,
INC2011-131,Fire,21-08-2011,White City,Saskatchewan,TransCanada PipeLines Limited,Closed,50.39317,-104.40937,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Equipment Failure,"Engineering and Planning, Maintenance",Maintenance,,
INC2011-132,Fire,22-08-2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,55.12635,-117.83833,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,"Incorrect Operation, Operating Conditions",Maintenance,Operation,,
INC2011-133,Fire,23-08-2011,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.19241,-118.19542,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,"Equipment Failure, Incorrect Operation",Engineering and Planning,Operation,,
INC2011-134,Fire,29-08-2011,White City,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.44344,-104.35691,No,Yes,No,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Operating Conditions,Engineering and Planning,Construction,,
INC2011-135,Release of Substance,31-08-2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83012,-118.64715,No,No,Yes,Yes,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,External Corrosion ,Engineering and Planning,Operation,,
INC2011-136,Serious Injury (NEB or TSB),01-09-2011,Huntsville,Ontario,TransCanada PipeLines Limited,Closed,45.51138,-79.31036,No,No,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Incorrect Operation,"Leadership and Communication, Maintenance, Tools and Equipment",Construction,,
INC2011-138,Release of Substance,02-09-2011,Wabasca,Alberta,NOVA Gas Transmission Ltd.,Closed,55.84448,-113.89141,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Equipment Failure,Maintenance,Operation,,
INC2011-141,Release of Substance,08-09-2011,Musquash,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.195347,-66.401993,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,"Engineering and Planning, Maintenance",Operation,,
INC2011-142,Release of Substance,09-09-2011,Albrights Corner,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.022695,-66.189817,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-143,Release of Substance,09-09-2011,Noonan,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.963713,-66.52814,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-146,Fire,10-09-2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,55.50563,-119.56184,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Incorrect Operation,Individual Factors,Construction,,
INC2011-152,Release of Substance,20-09-2011,Grenfell,Saskatchewan,TransCanada PipeLines Limited,Closed,50.28587,-102.95155,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-153,Release of Substance,26-09-2011,Saint George,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.129009,-66.83136,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Equipment Failure,Maintenance,Operation,,
INC2011-154,Release of Substance,28-09-2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83025,-118.64722,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-155,Release of Substance,01-10-2011,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87391,-79.58006,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Incorrect Operation,Individual Factors,Operation,,
INC2011-157,Fatality,12-10-2011,Sarnia,Ontario,Niagara Gas Transmission Limited,Closed,42.97508,-82.40654,No,No,Yes,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,"Incorrect Operation, Operating Conditions","Individual Factors, Standards and Procedures, Tools and Equipment",Maintenance,,
INC2011-158,Release of Substance,13-10-2011,Tulita,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,64.65833,-124.83612,Yes,No,No,No,0.0005,Propane,High Vapour Pressure Product,Gas,2011,Equipment Failure,Maintenance,Operation,,
INC2011-160,Operation Beyond Design Limits,14-10-2011,Windsor,Ontario,Ethane Shippers Joint Venture,Closed,42.280509,-83.077658,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,External Interference,"Individual Factors, Maintenance, Standards and Procedures, Tools and Equipment",Operation,,
INC2011-162,Release of Substance,19-10-2011,Wrigley,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,63.87793,-123.98697,Yes,No,No,No,Not Provided,Mixed HVP Hydrocarbons,High Vapour Pressure Product,Gas,2011,Equipment Failure,Standards and Procedures,Operation,,
INC2011-163,Release of Substance,19-10-2011,Wrigley,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,63.261177,-123.402616,Yes,No,No,No,0.001,Propane,High Vapour Pressure Product,Gas,2011,Equipment Failure,Maintenance,Maintenance,,
INC2011-165,Fire,24-10-2011,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.25906,-103.70813,No,No,Yes,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Operating Conditions,Standards and Procedures,Maintenance,,
INC2011-166,Release of Substance,26-10-2011,Rosemary,Alberta,NOVA Gas Transmission Ltd.,Closed,50.90519,-112.10804,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Equipment Failure,Maintenance,Operation,,
INC2011-167,Fire,31-10-2011,Hearst,Ontario,TransCanada PipeLines Limited,Submitted,49.67061,-83.65592,No,No,Yes,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,To be determined,To be determined,Maintenance,,
INC2011-168,Fire,04-11-2011,Yahk,British Columbia,Foothills Pipe Lines Ltd.,Closed,49.07839,-116.10601,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Material Defect,"Maintenance, Standards and Procedures",Operation,,
INC2011-171,Release of Substance,20-11-2011,Whitecourt,Alberta,NOVA Gas Transmission Ltd.,Closed,54.14314,-115.36091,Yes,No,No,No,50,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Equipment Failure,Engineering and Planning,Operation,,
INC2011-172,Release of Substance,20-11-2011,Donnelly,Alberta,NOVA Gas Transmission Ltd.,Closed,55.72877,-117.08296,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Equipment Failure,Maintenance,Operation,,
INC2011-173,Release of Substance,21-11-2011,Calstock,Ontario,TransCanada PipeLines Limited,Closed,49.74457,-84.06787,Yes,No,No,No,4,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-174,Fire,21-11-2011,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87374,-79.57983,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,"Equipment Failure, Incorrect Operation, Operating Conditions",Maintenance,Operation,,
INC2011-175,Operation Beyond Design Limits,24-11-2011,Portage La Prairie,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Submitted,49.91197,-98.51779,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,To be determined,To be determined,Construction,,
INC2011-177,Fire,02-12-2011,Fort Frances,Ontario,Centra Transmission Holdings Inc.,Closed,48.613425,-93.417778,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2011,Equipment Failure,Standards and Procedures,Construction,,
INC2011-178,Release of Substance,05-12-2011,Huntsville,Ontario,TransCanada PipeLines Limited,Closed,45.375736,-79.239306,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Engineering and Planning,Maintenance,,
INC2011-179,Release of Substance,06-12-2011,Amisk,Alberta,NOVA Gas Transmission Ltd.,Submitted,52.54673,-111.03052,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Cracking ,Maintenance,Operation,,
INC2011-180,Release of Substance,07-12-2011,Glenboro,Manitoba,Enbridge Pipelines Inc.,Closed,49.54445,-99.3207,Yes,No,No,No,7,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2011,Equipment Failure,Maintenance,Operation,,
INC2011-183,Release of Substance,14-12-2011,Steelman,Saskatchewan,Enbridge Pipelines (Westspur) Inc.,Closed,49.28813,-102.63736,Yes,No,No,No,2,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2011,Incorrect Operation,Standards and Procedures,Operation,,
INC2011-185,Release of Substance,20-12-2011,Ignace,Ontario,TransCanada PipeLines Limited,Closed,49.26712,-91.23269,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Material Defect,Maintenance,Operation,,
INC2011-186,Release of Substance,21-12-2011,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.251566,-66.097871,Yes,No,No,No,236,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2011,Equipment Failure,Maintenance,Operation,,
INC2012-002,Release of Substance,04-01-2012,Kapuskasing,Ontario,TransCanada PipeLines Limited,Closed,49.3881,-82.43604,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Equipment Failure,Maintenance,Operation,,
INC2012-003,Release of Substance,06-01-2012,Burlington,Ontario,TransCanada PipeLines Limited,Closed,43.37273,-79.83172,No,No,Yes,No,6,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Equipment Failure,Maintenance,Operation,,
INC2012-004,Operation Beyond Design Limits,07-01-2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Closed,53.5467,-113.35465,No,No,Yes,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,Other Causes,Maintenance,Operation,,
INC2012-005,Serious Injury (NEB or TSB),09-01-2012,Fort Nelson,British Columbia,NOVA Gas Transmission Ltd.,Closed,59.04522,-121.26857,Yes,No,No,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,Incorrect Operation,"Engineering and Planning, Individual Factors, Standards and Procedures",Construction,,
INC2012-006,Release of Substance,10-01-2012,Cobourg,Ontario,TransCanada PipeLines Limited,Closed,44.04676,-78.00709,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Equipment Failure,Maintenance,Operation,,
INC2012-007,Release of Substance,15-01-2012,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.70181,-121.63465,No,No,Yes,No,Not Provided,Natural Gas - Sour,High Vapour Pressure Product,Gas,2012,Equipment Failure,Maintenance,Operation,,
INC2012-009,Operation Beyond Design Limits,17-01-2012,Clearwater,British Columbia,Trans Mountain Pipeline ULC,Closed,51.5659,-120.16191,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,Incorrect Operation,Maintenance,Operation,,
INC2012-010,Release of Substance,18-01-2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.19155,-118.19433,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Equipment Failure,Maintenance,Operation,,
INC2012-011,Fire,20-01-2012,Prespatou,Alberta,NOVA Gas Transmission Ltd.,Closed,57.36771,-119.75255,No,No,Yes,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,Incorrect Operation,Standards and Procedures,Construction,,
INC2012-013,Fire,19-01-2012,Assumption,Alberta,NOVA Gas Transmission Ltd.,Closed,57.37269,-119.13156,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,Operating Conditions,Maintenance,Construction,,
INC2012-014,Fire,19-01-2012,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.86534,-109.02627,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,"Incorrect Operation, Operating Conditions","Individual Factors, Maintenance",Construction,,
INC2012-015,Fire,21-01-2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.38062,-119.18572,No,No,Yes,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,Incorrect Operation,Leadership and Communication,Construction,,
INC2012-016,Release of Substance,24-01-2012,Abbotsford,British Columbia,Trans Mountain Pipeline ULC,Closed,49.07801,-122.20215,Yes,No,No,No,90,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2012,Material Defect,"Engineering and Planning, Individual Factors, Maintenance, Natural or Environmental Forces, Standards and Procedures",Operation,,
INC2012-017,"Fire, Release of Substance",25-01-2012,Fort Nelson,British Columbia,NOVA Gas Transmission Ltd.,Closed,59.20208,-121.62187,No,No,Yes,No,0.001,Propane,High Vapour Pressure Product,Gas,2012,Incorrect Operation,Maintenance,Construction,,
INC2012-018,Fire,25-01-2012,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Closed,56.19745,-110.86556,No,No,No,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,Operating Conditions,Maintenance,Construction,,
INC2012-019,Release of Substance,26-01-2012,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.274038,-66.0275,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Equipment Failure,Maintenance,Operation,,
INC2012-020,Serious Injury (NEB or TSB),27-01-2012,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Closed,56.25495,-110.89551,No,No,Yes,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,Incorrect Operation,Leadership and Communication,Construction,,
INC2012-021,Release of Substance,03-02-2012,Shaunavon,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Closed,49.78627,-108.72239,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Equipment Failure,Maintenance,Maintenance,,
INC2012-022,"Fire, Release of Substance",03-02-2012,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Closed,56.18776,-110.86149,No,No,Yes,No,Not Provided,Mixed HVP Hydrocarbons,High Vapour Pressure Product,Gas,2012,Operating Conditions,Standards and Procedures,Construction,,
INC2012-023,Fire,06-02-2012,Thorndale,Ontario,Enbridge Pipelines Inc.,Closed,43.14439,-81.21239,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,"Cracking , Material Defect",Maintenance,Operation,,
INC2012-024,Fire,07-02-2012,Burstall,Saskatchewan,Foothills Pipe Lines Ltd.,Closed,50.66225,-110.01655,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,Incorrect Operation,Engineering and Planning,Maintenance,,
INC2012-027,Release of Substance,13-02-2012,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Closed,49.82818,-93.63726,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Material Defect,Engineering and Planning,Operation,,
INC2012-028,Release of Substance,13-02-2012,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Closed,49.82797,-93.63666,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Equipment Failure,Engineering and Planning,Operation,,
INC2012-029,Release of Substance,15-02-2012,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.895524,-66.542645,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Equipment Failure,Maintenance,Operation,,
INC2012-031,Fire,16-02-2012,Nipigon,Ontario,TransCanada PipeLines Limited,Closed,49.29549,-88.10056,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,"Incorrect Operation, Operating Conditions",Leadership and Communication,Maintenance,,
INC2012-032,Release of Substance,21-02-2012,Haileybury,Ontario,TransCanada PipeLines Limited,Closed,47.44682,-79.76273,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Cracking ,Maintenance,Operation,,
INC2012-038,Release of Substance,29-02-2012,Athabasca,Alberta,NOVA Gas Transmission Ltd.,Closed,54.64742,-112.80015,No,No,Yes,No,65,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Equipment Failure,Maintenance,Operation,,
INC2012-040,Release of Substance,01-03-2012,Brandon,Manitoba,TransCanada PipeLines Limited,Closed,50.07461,-100.00038,Yes,No,No,No,1400,Fuel Gas,High Vapour Pressure Product,Gas,2012,Equipment Failure,Maintenance,Operation,,
INC2012-041,Release of Substance,02-03-2012,Spirit River,Alberta,NOVA Gas Transmission Ltd.,Closed,55.7578,-118.30145,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Cracking ,Standards and Procedures,Operation,,
INC2012-044,Operation Beyond Design Limits,13-03-2012,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54727,-113.35571,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,Other Causes,Maintenance,Operation,,
INC2012-045,Release of Substance,13-03-2012,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.274038,-66.0275,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Material Defect,Maintenance,Operation,,
INC2012-048,Release of Substance,29-03-2012,Whitburn,Alberta,NOVA Gas Transmission Ltd.,Closed,55.81522,-119.36594,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Incorrect Operation,Leadership and Communication,Construction,,
INC2012-049,Release of Substance,30-03-2012,Iroquois,Ontario,TransCanada PipeLines Limited,Closed,44.88671,-75.29431,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Material Defect,Maintenance,Operation,,
INC2012-051,Release of Substance,13-04-2012,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.27614,-66.02945,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2012,Equipment Failure,Maintenance,Operation,,
INC2012-053,Fire,23-04-2012,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54746,-113.35569,No,No,No,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2012,"Incorrect Operation, Operating Conditions",Standards and Procedures,Maintenance,,
