Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Approximate Volume Released (m3),Substance,SubstanceCategory,Release Type,Year,What Happened?,Why it Happened?,Pipeline Phase,Were Pipeline System Components Involved?,Pipeline System Components Involved
INC2010-012,Release of Substance,31-01-2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,55.88802,-112.12314,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2010,Material Defect,Maintenance,Operation,,
INC2010-013,Operation Beyond Design Limits,01-02-2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,52.09768,-110.69846,No,No,Yes,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2010,"Incorrect Operation, Operating Conditions","Engineering and Planning, Leadership and Communication",Operation,,
INC2010-014,Fire,01-02-2010,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.64172,-111.27087,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Maintenance,Operation,,
INC2010-016,Release of Substance,08-02-2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83034,-118.64722,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2010,Cracking ,Maintenance,Operation,,
INC2010-018,Release of Substance,09-02-2010,Tumbler Ridge,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.04188,-121.01874,No,No,Yes,No,Not Provided,Natural Gas - Sour,High Vapour Pressure Product,Gas,2010,Equipment Failure,"Engineering and Planning, Maintenance",Operation,,
INC2010-019,Release of Substance,12-02-2010,New River Beach,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.18676,-66.54595,Yes,No,No,No,300,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2010,Equipment Failure,Maintenance,Operation,,
INC2010-021,Release of Substance,12-02-2010,Grovedale,Alberta,NOVA Gas Transmission Ltd.,Closed,54.95425,-119.19227,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2010,Equipment Failure,Engineering and Planning,Operation,,
INC2010-022,Release of Substance,16-02-2010,Taylor,British Columbia,Provident Energy Pipeline Inc.,Closed,56.14669,-120.66454,Yes,No,No,No,0.25,Mixed HVP Hydrocarbons,High Vapour Pressure Product,Gas,2010,Material Defect,Engineering and Planning,Operation,,
INC2010-024,Fire,19-02-2010,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.64998,-122.20708,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2010,Material Defect,Maintenance,Operation,,
INC2010-025,Release of Substance,20-02-2010,Belleville,Ontario,TransCanada PipeLines Limited,Closed,44.68365,-75.62111,Yes,No,No,No,51.4,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2010,Equipment Failure,Maintenance,Operation,,
INC2010-028,Release of Substance,26-02-2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54457,-113.35511,Yes,No,No,No,150,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2010,Material Defect,Maintenance,Operation,,
INC2010-029,Release of Substance,27-02-2010,Laval,Quebec,Trans-Northern Pipelines Inc.,Closed,45.624393,-73.639169,No,No,Yes,Yes,30,Gasoline,Low Vapour Pressure Product,Liquid,2010,Equipment Failure,Maintenance,Operation,,
INC2010-032,Release of Substance,03-03-2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.34669,-116.87305,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2010,Material Defect,Maintenance,Operation,,
